DateTime,Latitude,Longitude,Electric Power System > Energy Storage Main > 1 > Battery Space > Power,Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge,Electric Power System > Generator Set > 1 > Engine > Fuel Rate,Electric Power System > Generator Set > 1 > Engine > Load percentage,Electric Power System > Generator Set > 1 > Engine > Speed,Electric Power System > Generator Set > 1 > Engine > Torque percentage,Electric Power System > Generator Set > 2 > Engine > Fuel Rate,Electric Power System > Generator Set > 2 > Engine > Load percentage,Electric Power System > Generator Set > 2 > Engine > Speed,Electric Power System > Generator Set > 2 > Engine > Torque percentage,Navigation and Communication > Navigation Data > Location Current > Speed Over Ground,Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power,Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power
2026-03-02 12:00:00,59.92472,5.31335,19.04,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:01:00,59.92471,5.31339,18.37,,,,,,,,,,0.03,0.0,0.0,,
2026-03-02 12:02:00,59.92469,5.31335,18.61,,,,,,,,,,0.02,,,,0.0
2026-03-02 12:03:00,59.9247,5.31337,21.42,60.2,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:04:00,59.92471,5.31337,23.02,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:05:00,59.92471,5.31334,23.91,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:06:00,59.92471,5.31336,23.7,,,,,,,,,,0.02,0.0,0.0,,
2026-03-02 12:07:00,59.9247,5.31337,21.64,,,,,,,,,,0.02,,,,0.0
2026-03-02 12:08:00,59.92471,5.31334,22.28,60.05,,,,,0.0,0.0,0.0,0.0,0.03,,,,
2026-03-02 12:09:00,59.92471,5.31336,23.3,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:10:00,59.9247,5.31337,22.84,,,,,,,,,,0.0,,,0.0,
2026-03-02 12:11:00,59.9247,5.31337,24.6,,,,,,,,,,0.02,,,,
2026-03-02 12:12:00,59.9247,5.31337,24.39,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:13:00,59.9247,5.31337,24.9,59.85,,,,,0.0,0.0,0.0,0.0,0.0,,,,
2026-03-02 12:14:00,59.9247,5.31336,22.05,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:15:00,59.92471,5.31337,21.87,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:16:00,59.92472,5.31339,23.7,,,,,,,,,,0.02,,,,
2026-03-02 12:17:00,59.92472,5.31336,25.46,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:18:00,59.92472,5.31335,24.47,59.6,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:19:00,59.92471,5.31336,24.55,,0.0,0.0,0.0,0.0,,,,,,,,,
2026-03-02 12:20:00,59.92471,5.31337,23.98,,,,,,,,,,,,,0.0,
2026-03-02 12:21:00,59.92471,5.31337,21.77,,,,,,,,,,0.03,,,,
