timestep,load_kw,datetime
219,29.362000000000002,2026-01-28 07:30:00
220,27.517333333333333,2026-01-28 07:45:00
221,29.50133333333333,2026-01-28 08:00:00
222,27.937333333333335,2026-01-28 08:15:00
223,28.040666666666667,2026-01-28 08:30:00
224,28.044,2026-01-28 08:45:00
225,28.574,2026-01-28 09:00:00
226,29.875999999999998,2026-01-28 09:15:00
227,28.529333333333334,2026-01-28 09:30:00
228,29.166666666666668,2026-01-28 09:45:00
229,36.74,2026-01-28 10:00:00
230,43.809333333333335,2026-01-28 10:15:00
231,33.525999999999996,2026-01-28 10:30:00
232,33.082,2026-01-28 10:45:00
233,31.662,2026-01-28 11:00:00
234,31.457333333333334,2026-01-28 11:15:00
235,28.851333333333333,2026-01-28 11:30:00
236,27.108,2026-01-28 11:45:00
237,26.782,2026-01-28 12:00:00
238,26.083333333333332,2026-01-28 12:15:00
239,27.09,2026-01-28 12:30:00
240,27.392666666666667,2026-01-28 12:45:00
241,26.112000000000002,2026-01-28 13:00:00
242,25.004666666666665,2026-01-28 13:15:00
243,26.182000000000002,2026-01-28 13:30:00
244,27.14466666666667,2026-01-28 13:45:00
245,25.764,2026-01-28 14:00:00
246,26.779999999999998,2026-01-28 14:15:00
247,27.793333333333333,2026-01-28 14:30:00
248,27.83,2026-01-28 14:45:00
249,26.306,2026-01-28 15:00:00
250,25.696,2026-01-28 15:15:00
251,26.683333333333334,2026-01-28 15:30:00
252,26.246666666666666,2026-01-28 15:45:00
253,26.40533333333333,2026-01-28 16:00:00
254,25.937333333333335,2026-01-28 16:15:00
255,26.712,2026-01-28 16:30:00
256,26.113999999999997,2026-01-28 16:45:00
257,25.729333333333333,2026-01-28 17:00:00
258,28.959333333333333,2026-01-28 17:15:00
259,30.795333333333335,2026-01-28 17:30:00
260,27.382,2026-01-28 17:45:00
261,30.209999999999997,2026-01-28 18:00:00
262,31.549333333333333,2026-01-28 18:15:00
263,30.017999999999997,2026-01-28 18:30:00
264,30.266666666666666,2026-01-28 18:45:00
265,31.39466666666667,2026-01-28 19:00:00
266,30.23,2026-01-28 19:15:00
267,33.11333333333333,2026-01-28 19:30:00
268,48.147333333333336,2026-01-28 19:45:00
269,47.97533333333333,2026-01-28 20:00:00
270,37.39866666666667,2026-01-28 20:15:00
271,33.654,2026-01-28 20:30:00
272,34.12266666666667,2026-01-28 20:45:00
273,33.403333333333336,2026-01-28 21:00:00
274,33.17666666666666,2026-01-28 21:15:00
275,33.156,2026-01-28 21:30:00
276,33.974666666666664,2026-01-28 21:45:00
277,33.248000000000005,2026-01-28 22:00:00
278,32.876,2026-01-28 22:15:00
279,35.18866666666667,2026-01-28 22:30:00
280,38.99466666666667,2026-01-28 22:45:00
281,35.3622,2026-01-28 23:00:00
282,24.898333333333344,2026-01-28 23:15:00
283,20.134000000000007,2026-01-28 23:30:00
284,31.648499999999977,2026-01-28 23:45:00
285,12.822,2026-01-29 00:00:00
286,17.60433333333334,2026-01-29 00:15:00
287,13.671000000000012,2026-01-29 00:30:00
288,36.88333333333334,2026-01-29 00:45:00
289,29.5902,2026-01-29 01:00:00
290,43.61133333333333,2026-01-29 01:15:00
291,40.792,2026-01-29 01:30:00
292,51.440666666666665,2026-01-29 01:45:00
293,53.333999999999996,2026-01-29 02:00:00
294,39.89066666666667,2026-01-29 02:15:00
295,36.722,2026-01-29 02:30:00
296,46.146,2026-01-29 02:45:00
297,54.39866666666667,2026-01-29 03:00:00
298,37.163333333333334,2026-01-29 03:15:00
299,32.28933333333333,2026-01-29 03:30:00
300,32.668,2026-01-29 03:45:00
301,32.04866666666667,2026-01-29 04:00:00
302,32.048,2026-01-29 04:15:00
303,33.809333333333335,2026-01-29 04:30:00
304,34.07333333333334,2026-01-29 04:45:00
305,33.144666666666666,2026-01-29 05:00:00
306,31.719333333333335,2026-01-29 05:15:00
307,31.652666666666665,2026-01-29 05:30:00
308,32.42266666666667,2026-01-29 05:45:00
309,32.858,2026-01-29 06:00:00
310,33.83133333333333,2026-01-29 06:15:00
311,51.083999999999996,2026-01-29 06:30:00
312,32.554,2026-01-29 06:45:00
313,40.71333333333334,2026-01-29 07:00:00
314,32.07533333333333,2026-01-29 07:15:00
315,33.05466666666667,2026-01-29 07:30:00
316,34.111333333333334,2026-01-29 07:45:00
317,43.5,2026-01-29 08:00:00
318,34.550666666666665,2026-01-29 08:15:00
319,35.36,2026-01-29 08:30:00
320,40.943333333333335,2026-01-29 08:45:00
321,42.35,2026-01-29 09:00:00
322,43.51733333333333,2026-01-29 09:15:00
323,44.38,2026-01-29 09:30:00
324,34.588,2026-01-29 09:45:00
325,36.99933333333333,2026-01-29 10:00:00
326,35.592666666666666,2026-01-29 10:15:00
327,36.647333333333336,2026-01-29 10:30:00
328,35.076,2026-01-29 10:45:00
329,32.374,2026-01-29 11:00:00
330,33.68666666666667,2026-01-29 11:15:00
331,52.34666666666667,2026-01-29 11:30:00
332,32.727333333333334,2026-01-29 11:45:00
333,32.730666666666664,2026-01-29 12:00:00
334,31.640666666666668,2026-01-29 12:15:00
335,32.672,2026-01-29 12:30:00
336,32.416666666666664,2026-01-29 12:45:00
337,84.04733333333334,2026-01-29 13:00:00
338,56.86266666666667,2026-01-29 13:15:00
339,37.70666666666667,2026-01-29 13:30:00
340,36.998000000000005,2026-01-29 13:45:00
341,38.74666666666667,2026-01-29 14:00:00
342,47.80466666666667,2026-01-29 14:15:00
343,80.2137,2026-01-29 14:30:00
344,25.08286666666667,2026-01-29 14:45:00
345,12.82993333333334,2026-01-29 15:00:00
346,6.424166666666649,2026-01-29 15:15:00
347,5.786999999999996,2026-01-29 15:30:00
348,5.87766666666668,2026-01-29 15:45:00
349,8.069000000000013,2026-01-29 16:00:00
350,11.568666666666662,2026-01-29 16:15:00
351,28.6665,2026-01-29 16:30:00
352,30.22533333333333,2026-01-29 16:45:00
353,29.814666666666668,2026-01-29 17:00:00
354,29.562,2026-01-29 17:15:00
355,29.715333333333334,2026-01-29 17:30:00
356,28.866666666666667,2026-01-29 17:45:00
357,29.779333333333334,2026-01-29 18:00:00
358,32.81066666666666,2026-01-29 18:15:00
359,33.212,2026-01-29 18:30:00
360,32.403333333333336,2026-01-29 18:45:00
361,33.366,2026-01-29 19:00:00
362,32.05133333333333,2026-01-29 19:15:00
363,32.248666666666665,2026-01-29 19:30:00
364,57.91133333333333,2026-01-29 19:45:00
365,32.874,2026-01-29 20:00:00
366,32.91133333333333,2026-01-29 20:15:00
367,36.8,2026-01-29 20:30:00
368,140.48826666666668,2026-01-29 20:45:00
369,218.50560000000002,2026-01-29 21:00:00
370,205.9437,2026-01-29 21:15:00
371,206.06286666666668,2026-01-29 21:30:00
372,205.37673333333336,2026-01-29 21:45:00
373,205.56826666666666,2026-01-29 22:00:00
